时间,短期预测功率,短期预测湿度,原短期预测风速,短期预测风向,短期预测温度,短期预测气压,实际功率,实际风速,短期预测风速
2018/1/2 0:00,34.41,75,12.7,41,14.7,1008,28.59,8.5,8.864166666666666
2018/1/2 0:15,33.71,75,12.6,40,14.7,1008,29.8,8.75,8.764166666666666
2018/1/2 0:30,33.01,75,12.5,39,14.6,1008,23.8,7.78,8.664166666666667
2018/1/2 0:45,32.32,75,12.4,38,14.5,1008,23.63,7.89,8.564166666666667
2018/1/2 1:00,31.66,75,12.3,38,14.5,1008,26.98,7.69,8.464166666666667
2018/1/2 1:15,31.04,75,12.2,37,14.5,1008,28.44,8.09,8.364166666666666
2018/1/2 1:30,30.42,74,12.2,36,14.5,1008,29.08,7.78,8.364166666666666
2018/1/2 1:45,29.8,74,12.1,36,14.5,1007,26.82,8.01,8.264166666666666
2018/1/2 2:00,29.29,74,12.0,36,14.5,1007,23.98,7.06,8.164166666666667
2018/1/2 2:15,28.87,74,12.0,35,14.5,1007,23.4,6.92,8.164166666666667
2018/1/2 2:30,28.45,74,11.9,35,14.5,1006,19.31,6.4,8.064166666666667
2018/1/2 2:45,28.04,74,11.9,34,14.5,1006,17.49,6.16,8.064166666666667
2018/1/2 3:00,27.73,74,11.8,34,14.5,1006,18.78,6.82,7.964166666666667
2018/1/2 3:15,27.52,74,11.8,34,14.5,1006,16.33,6.76,7.964166666666667
2018/1/2 3:30,27.31,74,11.7,34,14.6,1006,16.32,6.87,7.864166666666666
2018/1/2 3:45,27.1,74,11.6,33,14.6,1006,16.72,6.67,7.764166666666666
2018/1/2 4:00,26.92,74,11.6,33,14.6,1006,18.38,6.86,7.764166666666666
2018/1/2 4:15,26.76,74,11.6,33,14.6,1006,18.11,6.83,7.764166666666666
2018/1/2 4:30,26.61,74,11.5,33,14.6,1006,22.89,7.38,7.664166666666667
2018/1/2 4:45,26.45,74,11.4,32,14.6,1006,23.05,7.72,7.564166666666667
2018/1/2 5:00,26.25,74,11.4,32,14.6,1006,22.64,7.49,7.564166666666667
2018/1/2 5:15,26.01,74,11.4,32,14.6,1006,25.25,7.76,7.564166666666667
2018/1/2 5:30,25.76,74,11.3,33,14.6,1007,24.13,7.69,7.464166666666667
