实际功率,原系统预测功率,超短期预测功率
27.670000076293945,32.24,32.692806243896484
33.790000915527344,32.09,32.71379089355469
30.239999771118164,31.94,32.09088897705078
30.439998626708984,31.79,31.65617561340332
31.96999740600586,31.66,31.310548782348633
32.150001525878906,31.55,30.85157012939453
32.4900016784668,31.43,30.81892967224121
29.739999771118164,31.32,30.31557273864746
35.470001220703125,31.25,29.640697479248047
30.610000610351562,31.22,29.018239974975586
29.93000030517578,31.2,29.25338363647461
33.099998474121094,31.18,28.90373420715332
28.809999465942383,31.08,29.102371215820312
27.560001373291016,30.9,29.372770309448242
29.229999542236328,30.73,28.609455108642578
34.65999984741211,30.56,28.654050827026367
33.2400016784668,30.34,34.57568359375
33.630001068115234,30.07,34.3569221496582
34.470001220703125,29.81,33.58076095581055
33.27000045776367,29.54,33.032691955566406
33.2400016784668,29.29,32.47171401977539
33.36000061035156,29.05,31.92499542236328
30.51999855041504,28.81,31.823463439941406
26.530000686645508,28.58,31.120820999145508
29.290000915527344,28.38,30.399677276611328
30.8799991607666,28.21,29.716476440429688
34.209999084472656,28.04,29.87563133239746
31.6299991607666,27.88,29.42490577697754
34.470001220703125,27.79,29.313690185546875
34.959999084472656,27.79,29.453018188476562
35.779998779296875,27.79,28.6123104095459
35.880001068115234,27.79,28.53326988220215
36.63999938964844,27.9,35.97955322265625
36.310001373291016,28.12,35.87498092651367
34.560001373291016,28.34,35.10424041748047
36.0099983215332,28.56,34.46920394897461
35.720001220703125,28.83,33.901634216308594
36.290000915527344,29.17,33.30731201171875
32.209999084472656,29.5,33.18012619018555
32.290000915527344,29.83,32.414588928222656
39.18000030517578,30.12,31.674846649169922
37.08000183105469,30.36,30.871379852294922
36.630001068115234,30.61,31.203861236572266
34.86000061035156,30.85,30.667964935302734
38.43000030517578,31.01,30.61478042602539
32.849998474121094,31.1,30.584413528442383
34.060001373291016,31.18,29.930261611938477
29.040000915527344,31.26,29.99555206298828
30.919998168945312,31.37,30.312973022460938
29.68000030517578,31.5,30.834239959716797
27.920000076293945,31.63,30.466876983642578
30.329999923706055,31.75,30.43770408630371
27.950002670288086,31.86,30.601736068725586
30.25,31.95,30.22604751586914
33.560001373291016,32.04,30.339942932128906
38.849998474121094,32.13,30.25604820251465
38.41999816894531,32.29,30.086931228637695
35.4900016784668,32.51,29.387500762939453
33.90999984741211,32.73,29.706737518310547
34.38999938964844,32.96,29.940717697143555
37.91999816894531,33.14,30.379714965820312
33.279998779296875,33.28,30.86134147644043
35.40999984741211,33.42,30.284839630126953
38.900001525878906,33.55,30.71870231628418
40.209999084472656,33.81,39.80131912231445
39.06999969482422,34.17,39.987430572509766
39.93000030517578,34.54,39.41569519042969
40.9900016784668,34.9,39.30274200439453
40.849998474121094,35.2,39.105899810791016
39.81999969482422,35.44,38.79592514038086
40.619998931884766,35.68,38.77485656738281
40.900001525878906,35.92,38.819923400878906
40.52000045776367,36.06,38.0084342956543
41.45000076293945,36.1,37.46211624145508
40.7400016784668,36.14,37.729469299316406
41.279998779296875,36.18,37.90591049194336
39.459999084472656,36.18,37.929656982421875
40.29999923706055,36.15,38.26177215576172
39.400001525878906,36.12,37.49678039550781
37.459999084472656,36.09,37.96821594238281
35.970001220703125,36.05,38.03623962402344
37.029998779296875,36.01,37.859397888183594
35.599998474121094,35.96,37.26286697387695
34.689998626708984,35.92,36.58312225341797
32.959999084472656,35.82,35.95869064331055
39.119998931884766,35.66,35.37955856323242
35.060001373291016,35.51,35.0362548828125
34.369998931884766,35.35,34.527870178222656
33.16999816894531,35.18,33.541664123535156
32.34000015258789,35.0,32.576568603515625
28.0,34.83,32.834381103515625
32.11000061035156,34.65,32.441429138183594
27.229999542236328,34.46,32.171630859375
31.249998092651367,34.26,32.45322036743164
29.549999237060547,34.05,31.497535705566406
27.209999084472656,33.85,31.640899658203125
29.219999313354492,31.39,27.943416595458984
28.51000213623047,31.33,28.058774948120117
34.689998626708984,31.26,27.484411239624023
35.16999816894531,31.2,27.134742736816406
34.9900016784668,31.08,26.805925369262695
31.989999771118164,30.91,26.384981155395508
29.240001678466797,30.74,26.276084899902344
31.06999969482422,30.57,25.885007858276367
26.270002365112305,30.38,25.188398361206055
26.809999465942383,30.19,24.524627685546875
33.81999969482422,30.0,24.700149536132812
32.61000061035156,29.81,24.427698135375977
33.439998626708984,29.6,24.62300682067871
32.54999923706055,29.35,25.016197204589844
31.080001831054688,29.11,24.175819396972656
28.0,28.86,24.23796844482422
24.809999465942383,28.64,28.968608856201172
31.940000534057617,28.44,29.258085250854492
31.06999969482422,28.24,28.87745475769043
31.540002822875977,28.05,28.640535354614258
30.67999839782715,27.88,28.56668472290039
30.020000457763672,27.74,28.20821762084961
34.68000030517578,27.61,28.245216369628906
29.739999771118164,27.47,28.02899932861328
30.51000213623047,27.55,27.745832443237305
30.229999542236328,27.84,26.996387481689453
29.62000274658203,28.14,27.336767196655273
29.940000534057617,28.43,27.366472244262695
28.770000457763672,28.67,27.64102554321289
30.540000915527344,28.85,27.870098114013672
26.229999542236328,29.03,27.146072387695312
26.850000381469727,29.22,27.570327758789062
33.29999923706055,29.4,27.416399002075195
30.969999313354492,29.59,27.500268936157227
31.770000457763672,29.78,27.21076011657715
32.209999084472656,29.97,26.94190216064453
27.93000030517578,30.11,26.63599967956543
31.299999237060547,30.18,26.40276527404785
37.369998931884766,30.25,26.415565490722656
32.31999969482422,30.33,26.032054901123047
33.63999938964844,30.45,25.43694305419922
38.9900016784668,30.61,24.895862579345703
34.58000183105469,30.77,25.112796783447266
34.849998474121094,30.94,24.77831268310547
35.79999923706055,30.92,24.94832420349121
32.54999923706055,30.72,25.343870162963867
38.20000076293945,30.52,24.576190948486328
37.470001220703125,30.32,24.560331344604492
29.530000686645508,30.07,37.242610931396484
36.61000061035156,29.75,36.937808990478516
32.25,29.44,35.8955078125
27.309999465942383,29.13,35.10416793823242
29.760000228881836,28.91,34.215484619140625
30.09000015258789,28.78,33.464290618896484
25.62000274658203,28.66,32.93414306640625
32.599998474121094,28.53,32.10731887817383
33.7599983215332,28.5,31.16636848449707
25.80999755859375,28.57,30.060441970825195
18.739999771118164,28.64,30.349369049072266
21.010000228881836,28.71,29.697467803955078
22.110000610351562,28.87,29.302520751953125
19.200000762939453,29.1,29.258773803710938
23.080001831054688,29.34,28.361478805541992
28.119998931884766,29.58,28.45064353942871
29.5,29.84,28.492897033691406
