实际功率,原系统预测功率,超短期预测功率
27.670000076293945,32.24,31.15291976928711
33.790000915527344,32.09,30.893259048461914
30.239999771118164,31.94,30.499433517456055
30.439998626708984,31.79,30.164756774902344
31.96999740600586,31.66,29.94354820251465
32.150001525878906,31.55,29.46805191040039
32.4900016784668,31.43,29.474414825439453
29.739999771118164,31.32,29.276676177978516
35.470001220703125,31.25,29.02315902709961
30.610000610351562,31.22,28.687875747680664
29.93000030517578,31.2,28.59600067138672
33.099998474121094,31.18,28.02674674987793
28.809999465942383,31.08,27.81570053100586
27.560001373291016,30.9,27.761396408081055
29.229999542236328,30.73,27.283855438232422
34.65999984741211,30.56,26.887737274169922
33.2400016784668,30.34,32.88981246948242
33.630001068115234,30.07,32.50944900512695
34.470001220703125,29.81,32.012638092041016
33.27000045776367,29.54,31.547439575195312
33.2400016784668,29.29,31.191883087158203
33.36000061035156,29.05,30.566967010498047
30.51999855041504,28.81,30.50400733947754
26.530000686645508,28.58,30.18337631225586
29.290000915527344,28.38,29.80401611328125
30.8799991607666,28.21,29.38802719116211
34.209999084472656,28.04,29.242063522338867
31.6299991607666,27.88,28.566740036010742
34.470001220703125,27.79,28.262500762939453
34.959999084472656,27.79,28.13063621520996
35.779998779296875,27.79,27.582752227783203
35.880001068115234,27.79,27.096698760986328
36.63999938964844,27.9,33.80197525024414
36.310001373291016,28.12,33.46048355102539
34.560001373291016,28.34,32.99287414550781
36.0099983215332,28.56,32.615089416503906
35.720001220703125,28.83,32.376953125
36.290000915527344,29.17,31.875791549682617
32.209999084472656,29.5,31.80488395690918
32.290000915527344,29.83,31.547876358032227
39.18000030517578,30.12,31.29195785522461
37.08000183105469,30.36,30.892030715942383
36.630001068115234,30.61,30.75518226623535
34.86000061035156,30.85,30.06492042541504
38.43000030517578,31.01,29.821346282958984
32.849998474121094,31.1,29.7554874420166
34.060001373291016,31.18,29.24129295349121
29.040000915527344,31.26,28.762659072875977
30.919998168945312,31.37,29.318387985229492
29.68000030517578,31.5,29.341270446777344
27.920000076293945,31.63,29.19377899169922
30.329999923706055,31.75,29.224456787109375
27.950002670288086,31.86,29.329641342163086
30.25,31.95,29.11927604675293
33.560001373291016,32.04,29.360639572143555
38.849998474121094,32.13,29.505165100097656
38.41999816894531,32.29,29.529159545898438
35.4900016784668,32.51,29.430078506469727
33.90999984741211,32.73,29.5429630279541
34.38999938964844,32.96,29.21782112121582
37.91999816894531,33.14,29.28316307067871
33.279998779296875,33.28,29.434030532836914
35.40999984741211,33.42,29.098121643066406
38.900001525878906,33.55,28.911161422729492
40.209999084472656,33.81,37.42325210571289
39.06999969482422,34.17,37.23774719238281
39.93000030517578,34.54,36.95285415649414
40.9900016784668,34.9,36.830482482910156
40.849998474121094,35.2,36.83641052246094
39.81999969482422,35.44,36.475738525390625
40.619998931884766,35.68,36.64045333862305
40.900001525878906,35.92,36.62517547607422
40.52000045776367,36.06,36.56510543823242
41.45000076293945,36.1,36.29722213745117
40.7400016784668,36.14,36.32664108276367
41.279998779296875,36.18,35.73438262939453
39.459999084472656,36.18,35.657432556152344
40.29999923706055,36.15,35.737308502197266
39.400001525878906,36.12,35.244224548339844
37.459999084472656,36.09,34.81193161010742
35.970001220703125,36.05,35.97730255126953
37.029998779296875,36.01,35.67982864379883
35.599998474121094,35.96,35.23633575439453
34.689998626708984,35.92,34.730098724365234
32.959999084472656,35.82,34.37759017944336
39.119998931884766,35.66,33.766029357910156
35.060001373291016,35.51,33.75139617919922
34.369998931884766,35.35,33.43252944946289
33.16999816894531,35.18,33.05154800415039
32.34000015258789,35.0,32.54312515258789
28.0,34.83,32.4849853515625
32.11000061035156,34.65,31.675878524780273
27.229999542236328,34.46,31.327377319335938
31.249998092651367,34.26,31.23349380493164
